"Generation","Cynicism","Career"
"Millenials",4,"Education"
"GenerationX",7,"Sales"
"Boomers",5,"Clerical"
"GenerationX",3,"Clerical"
"Millenials",8,"Professional"
"Boomers",7,"Sales"
"Boomers",2,"Clerical"
"Gen2020",2,"Professional"
"GenerationX",7,"Professional"
"GenerationX",3,"Education"
"Millenials",8,"Clerical"
"Gen2020",2,"Clerical"
"Millenials",5,"Clerical"
"Millenials",5,"Clerical"
"Boomers",5,"Sales"
"Traditionalists",8,"Sales"
"Gen2020",4,"Clerical"
"GenerationX",6,"Clerical"
"GenerationX",3,"Clerical"
"Boomers",7,"Education"
"Boomers",2,"Sales"
"Boomers",3,"Professional"
"GenerationX",7,"Clerical"
"Boomers",5,"Clerical"
"GenerationX",6,"Education"
"Millenials",6,"Sales"
"Boomers",7,"Professional"
"Millenials",6,"Pop Star"
"Millenials",3,"Clerical"
"GenerationX",2,"Clerical"
"GenerationX",3,"Sales"
"Gen2020",2,"Clerical"
"GenerationX",6,"Education"
"GenerationX",3,"Clerical"
"GenerationX",2,"Clerical"
"Gen2020",3,"Clerical"
"GenerationX",5,"Professional"
"GenerationX",3,"Clerical"
"Millenials",6,"Clerical"
"GenerationX",4,"Clerical"
"Gen2020",4,"Education"
"GenerationX",7,"Clerical"
"GenerationX",5,"Sales"
"GenerationX",5,"Sales"
"Millenials",3,"Clerical"
"GenerationX",2,"Clerical"
"Gen2020",4,"Clerical"
"GenerationX",4,"Professional"
"Boomers",3,"Professional"
"Boomers",5,"Sales"
